source_wave,source_task,source_call_id,problem,direction,model,variant,sample,seed,temperature,reasoning,response_id,finish_reason,warm_accepted,warm_timed_out,warm_duration_ms,warm_message_count,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_ms,candidate_sha256,error
wave_a,stage3v1-breadth-p04_sum_sq-r1-c1,02f20a8d223a4ac9b6381dbe7e7617e8,p04_sum_sq,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788436153-jYtM5dJGqdeXDXFdAiGv,stop,False,False,218,1,925,1777,2702,0.00032984,40703,d339d878388b5ed26cdaf8e03ee1fc38b4b679511641f438bfc00103e64c97c8,
wave_a,stage3v1-breadth-p04_sum_sq-r1-c1,02f20a8d223a4ac9b6381dbe7e7617e8,p04_sum_sq,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788436156-LEtohlGk74mGnmDJPZRq,stop,True,False,287,1,925,1746,2671,0.00032457,22281,e23ff54cb59f863000ec9b7c4cff90705d856c1eade41547b6ca7b6ee65e65ac,
wave_a,stage3v1-breadth-p04_sum_sq-r1-c1,02f20a8d223a4ac9b6381dbe7e7617e8,p04_sum_sq,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788436156-aDpKz39a7o4TzS6hYRM3,stop,True,False,187,1,600,1008,1608,0.00018936,24880,e23ff54cb59f863000ec9b7c4cff90705d856c1eade41547b6ca7b6ee65e65ac,
wave_a,stage3v1-breadth-p04_sum_sq-r1-c1,02f20a8d223a4ac9b6381dbe7e7617e8,p04_sum_sq,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788436178-A8w7Hnfihit2wTIu7sc5,stop,True,False,483,1,600,1972,2572,0.00102,25095,3159092e57dcfd7fb9bf037b67c3554fa19f4dcb59366a6af6cd36d2c6a49b2d,
wave_a,stage3v1-core-p03_sq_ge_two_ab-r1-c2,05a5ab8c20b0426da69f6c01948cdffd,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788436074-NrfA57mcRf0ebnj63Qz7,stop,False,False,309,1,937,1261,2198,0.000388765,12305,5c5dae34fafb3a22c205ee8c0d16f2a5f8c95240ed781652d2ae2b61a8e6c35e,
wave_a,stage3v1-core-p03_sq_ge_two_ab-r1-c2,05a5ab8c20b0426da69f6c01948cdffd,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788436080-s29RHhGmJHvSoXgCgHIR,stop,False,False,410,1,937,1490,2427,0.000448305,10564,d180e30f6b3dee617b370cf9212bc35a6107dc22497d548fea5ec9b6f2b83df4,
wave_a,stage3v1-core-p03_sq_ge_two_ab-r1-c2,05a5ab8c20b0426da69f6c01948cdffd,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,without_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788436086-mORZyoUTFmX8dqEeXP2G,stop,False,False,435,1,704,823,1527,0.00025974,5378,c7195e9c41d2f9858b7eebb36fcce3f4058409a99fa81315176e5f72a98e710e,
wave_a,stage3v1-core-p03_sq_ge_two_ab-r1-c2,05a5ab8c20b0426da69f6c01948cdffd,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,without_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788436091-2vKCJV2UfohK0OJhoE2X,stop,False,False,295,1,704,785,1489,0.00024986,4547,c0dab0891f85191d6b3a9539f1b389c7313f01e3ad6d59833909ced7f733aa2e,
wave_a,stage3v1-breadth-p02_frac_cancel-r1-c2,1a2d01edfac74fbc84c595a27c339bc6,p02_frac_cancel,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788437399-CFZGQ6I2yxpssG8apWJw,stop,True,False,107,0,883,2080,2963,0.00038009,73745,5d38b65eeaa78c467a427085fcb3ccfb9157fe793cfef031eed88dce6a1e8921,
wave_a,stage3v1-breadth-p02_frac_cancel-r1-c2,1a2d01edfac74fbc84c595a27c339bc6,p02_frac_cancel,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788437399-dJUAPWINdBmrjQnzM4sh,stop,True,False,505,1,870,2346,3216,0.00043101,51614,5d1a691cdb83398bff75862ed297539cc27c4b50be6fb005e31f2bfe62d441ea,
wave_a,stage3v1-breadth-p02_frac_cancel-r1-c2,1a2d01edfac74fbc84c595a27c339bc6,p02_frac_cancel,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788437435-IeYCRW1IiqpdqQCQrcl7,stop,True,False,191,0,585,1946,2531,0.00051575,26345,e6a4096b499cac56765f1dbf14335540b020709808158e37261e68c149f70f81,
wave_a,stage3v1-breadth-p02_frac_cancel-r1-c2,1a2d01edfac74fbc84c595a27c339bc6,p02_frac_cancel,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788437435-Jozbu9GwUbwvJGaXDmXu,stop,True,False,206,0,586,2800,3386,0.00049358,56794,6e461febe0e688ea3c1779d39a6a8d1c5a82d5264362c5783d55a0d5d7692519,
wave_a,stage3v1-breadth-p09_imo1964-r1-c2,2d136e51933f46e2857a90c6ce8c66fe,p09_imo1964,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788439211-skshUXj0YCslAGttrBad,stop,False,False,5804,22,3664,9864,13528,0.0017868,245182,35ab358d4f5edd87e2109f8afe6d86975f5dca41399dd8a01f83c78f6c46b593,
wave_a,stage3v1-breadth-p09_imo1964-r1-c2,2d136e51933f46e2857a90c6ce8c66fe,p09_imo1964,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788439246-hjNDK7hZjmxFIQcsmdI2,stop,False,False,3549,22,3664,11136,14800,0.00200304,153108,6185be5b810106932c3264ec412c51af704b66e0700160407f498dfcece016bd,
wave_a,stage3v1-breadth-p09_imo1964-r1-c2,2d136e51933f46e2857a90c6ce8c66fe,p09_imo1964,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788439270-0M7bxcPxVYcrQNKspeUb,length,False,False,31,1,2248,12000,14248,0.002123176,310849,9401e66d00c767d8c6c34fe547e9e179c724137627b543566490ad0b217e931d,
wave_a,stage3v1-breadth-p09_imo1964-r1-c2,2d136e51933f46e2857a90c6ce8c66fe,p09_imo1964,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788439331-NrjXTfkEgWX1LGvv9edX,length,False,False,86,2,2261,12000,14261,0.00210783,239782,f154e972c608d5d1a5c328616ccddd7ad4be5bd7cfcf4185bd9e7691699b3576,
wave_a,stage3v1-breadth-putnam_2018_a1-r1-c1,33476e3ca6ea4e099610b674164ecc19,putnam_2018_a1,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788438153-7CwaeqbdodcWxUNwya0o,stop,False,False,31882,9,4741,6377,11118,0.001966185,67109,33547bdbccfae783725680195f2259a0c3f8c69b8e91912912688c7cd7635ec8,
wave_a,stage3v1-breadth-putnam_2018_a1-r1-c1,33476e3ca6ea4e099610b674164ecc19,putnam_2018_a1,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788438220-ToXO4kRcCGEgxJrBDmCC,stop,False,False,17578,11,4741,5023,9764,0.001614145,44704,56534f20b77861f4878d8737dbc4a18f783961cbf4c38ef805c97d30da354fd1,
wave_a,stage3v1-breadth-putnam_2018_a1-r1-c1,33476e3ca6ea4e099610b674164ecc19,putnam_2018_a1,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,without_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788438220-Mo3pjkvfes9CotXbikqB,length,False,False,3769,4,1985,12000,13985,0.003249025,77164,51f2d05b66f2f05189872eef2c8a87be6fe43a3ab8ce387c4b56fa513deb402a,
wave_a,stage3v1-breadth-putnam_2018_a1-r1-c1,33476e3ca6ea4e099610b674164ecc19,putnam_2018_a1,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,without_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788438238-38GoSVsi3Inqo0EieQ3y,stop,False,False,54,1,1985,5312,7297,0.001510145,37071,8c79be849d09075988a742055eca57d0ac03f39cc8a975d33cb1cdfb8f75de1b,
wave_a,stage3v1-breadth-putnam_2018_a1-r1-c2,35370eeeb5a24bcf9fc4b22bb2e3b576,putnam_2018_a1,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788438265-MWDF2JPcJC48XuvZbagU,stop,False,False,108918,27,8664,10870,19534,0.002168468,403077,f5a660c9a49c5652b8c9c4128fea35a116abd3e03e1bd382106bfe3188a981b8,
wave_a,stage3v1-breadth-putnam_2018_a1-r1-c2,35370eeeb5a24bcf9fc4b22bb2e3b576,putnam_2018_a1,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788438274-FZMfmofZ2QeGGUh8Pjfr,stop,False,False,66,1,8677,8580,17257,0.00171891,203503,8c79be849d09075988a742055eca57d0ac03f39cc8a975d33cb1cdfb8f75de1b,
wave_a,stage3v1-breadth-putnam_2018_a1-r1-c2,35370eeeb5a24bcf9fc4b22bb2e3b576,putnam_2018_a1,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788438297-znxzx2ozrV9109ATAOyY,stop,False,False,33624,1,6047,4412,10459,0.00140535,405113,8c79be849d09075988a742055eca57d0ac03f39cc8a975d33cb1cdfb8f75de1b,
wave_a,stage3v1-breadth-putnam_2018_a1-r1-c2,35370eeeb5a24bcf9fc4b22bb2e3b576,putnam_2018_a1,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788438305-aQUkwcSdtb4Ptbpv2v0X,stop,False,False,27651,39,6060,11720,17780,0.0021742,277192,5db69b03c3214384d0be518fa6bcaff0a32ec52e44a52606305b644802e9c3c8,
wave_a,stage3v1-breadth-p09_imo1964-r1-c1,38ff55b25e404bd99f44bfc0b74b9dbf,p09_imo1964,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788436542-txS5VWJ5R1B0RGi7bxks,length,False,False,110,2,4417,12000,16417,0.00217251,217213,f154e972c608d5d1a5c328616ccddd7ad4be5bd7cfcf4185bd9e7691699b3576,
wave_a,stage3v1-breadth-p09_imo1964-r1-c1,38ff55b25e404bd99f44bfc0b74b9dbf,p09_imo1964,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,2,1729,0.2,"{""effort"": ""medium""}",gen-1788436566-0nAonvl9c5goix86FyRW,stop,False,False,3695,18,4417,10265,14682,0.0053975,202591,e57a3e1db03e25d5345ad04a656bc65cc16814bb55e678ccef25bc62b3f0af7a,
wave_a,stage3v1-breadth-p09_imo1964-r1-c1,38ff55b25e404bd99f44bfc0b74b9dbf,p09_imo1964,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,1,1729,0.2,"{""effort"": ""medium""}",gen-1788436600-nshN1f7wPbwmnUopVnOa,stop,False,False,4804,19,2799,10115,12914,0.001823113,226578,54f7389c5f72d0411dd5dced1b2570e0d5ece97d6981cf3f0f4d3153cbddfc20,
